,Zip Code,GO Highest Offense Desc,UCR Description
179,78702.0,BURGLARY NON RESIDENCE        ,Burglary
180,78758.0,ROBBERY BY ASSAULT            ,Robbery
181,78744.0,AGG ROBBERY BY ASSAULT        ,Robbery
182,78741.0,BURGLARY OF RESIDENCE         ,Burglary
183,78744.0,THEFT                         ,Theft
184,78744.0,BURGLARY OF RESIDENCE         ,Burglary
185,78746.0,THEFT BY SHOPLIFTING          ,Theft
186,78741.0,BURGLARY OF RESIDENCE         ,Burglary
187,78723.0,THEFT BY SHOPLIFTING          ,Theft
188,78721.0,THEFT OF TRAILER              ,Theft
189,78653.0,BURGLARY OF VEHICLE           ,Theft
190,78753.0,BURGLARY NON RESIDENCE        ,Burglary
191,78745.0,SEXUAL ASSAULT W/ OBJECT      ,Rape
192,78741.0,AGG ASSAULT                   ,Agg Assault
193,78727.0,THEFT BY SHOPLIFTING          ,Theft
194,78741.0,THEFT                         ,Theft
195,78701.0,AGG ASSAULT                   ,Agg Assault
196,78752.0,AUTO THEFT                    ,Auto Theft
197,78653.0,THEFT                         ,Theft
198,78704.0,AGG ASSAULT                   ,Agg Assault
199,78753.0,THEFT                         ,Theft
200,78753.0,THEFT BY SHOPLIFTING          ,Theft
201,78748.0,BURGLARY OF RESIDENCE         ,Burglary
202,78723.0,RAPE OF A CHILD               ,Rape
203,78741.0,AUTO THEFT                    ,Auto Theft
204,78744.0,AGG RAPE OF A CHILD           ,Rape
205,78753.0,THEFT BY SHOPLIFTING          ,Theft
206,78745.0,BURGLARY OF RESIDENCE         ,Burglary
207,78758.0,ROBBERY BY ASSAULT            ,Robbery
208,78758.0,ROBBERY BY ASSAULT            ,Robbery
209,78741.0,BURGLARY OF RESIDENCE         ,Burglary
210,78748.0,THEFT                         ,Theft
211,78729.0,THEFT BY SHOPLIFTING          ,Theft
212,78748.0,BURGLARY OF VEHICLE           ,Theft
213,78758.0,BURGLARY OF VEHICLE           ,Theft
214,78727.0,THEFT                         ,Theft
215,78748.0,BURGLARY OF VEHICLE           ,Theft
216,78745.0,BURGLARY OF VEHICLE           ,Theft
217,78748.0,BURGLARY OF VEHICLE           ,Theft
218,78703.0,BURGLARY OF VEHICLE           ,Theft
219,78704.0,THEFT                         ,Theft
220,78748.0,BURGLARY OF VEHICLE           ,Theft
221,78752.0,BURGLARY OF VEHICLE           ,Theft
222,78749.0,THEFT                         ,Theft
223,78723.0,THEFT                         ,Theft
224,78741.0,THEFT                         ,Theft
225,78753.0,BURGLARY OF VEHICLE           ,Theft
226,78753.0,THEFT                         ,Theft
227,78741.0,THEFT OF BICYCLE              ,Theft
228,78759.0,SEXUAL ASSAULT W/ OBJECT      ,Rape
229,78701.0,BURGLARY OF VEHICLE           ,Theft
230,78749.0,THEFT BY SHOPLIFTING          ,Theft
231,78701.0,THEFT                         ,Theft
